00C	ANIMAS AIR PARK
KOFK	NORFOLK REGNL ARPT/KARL STEFAN MEMORIAL FIELD
KOFP	HANOVER COUNTY MUNICIPAL ARPT
KOGD	OGDEN-HINCKLEY ARPT
KOGS	OGDENSBURG INTL ARPT
KOIC	LT WARREN EATON ARPT
KOJC	JOHNSON COUNTY EXECUTIVE ARPT
KOKB	OCEANSIDE  MUNICIPAL ARPT
KOKC	WILL ROGERS WORLD ARPT
KOKH	WES LUPIEN
KOKK	KOKOMO MUNICIPAL ARPT
KOKM	OKMULGEE REGIONAL  ARPT
KOKV	WINCHESTER REGIONAL ARPT
KOLF	L M CLAYTON
KOLM	OLYMPIA ARPT
KOLS	NOGALES INTL ARPT
KOLU	COLUMBUS MUNICIPAL ARPT -NE
KOLV	OLIVE BRANCH ARPT
KOMA	EPPLEY AIRFIELD
KOMH	ORANGE COUNTY ARPT -VA
KOMK	OMAK ARPT
KOMN	ORMOND BEACH MUNICIPAL ARPT
KONA	WINONA MUNI ARPT-MAX CONRAD FIELD
KONO	ONTARIO MUNICIPAL ARPT
KONP	NEWPORT MUNICIPAL ARPT -OR
KONT	ONTARIO INTL ARPT
KONZ	GROSSE ILE MUNICIPAL ARPT
KOPF	OPA-LOCKA EXECUTIVE ARPT
KOPL	ST LANDRY PARISH ARPT-AHART FIELD
KOPN	THOMASTON-UPSON COUNTY ARPT
KOQN	BRANDYWINE ARPT
KOQU	QUONSET STATE ARPT
KORB	ORR REGIONAL ARPT
KORD	CHICAGO OHARE INTL ARPT
KORF	NORFOLK INTL
KORG	ORANGE COUNTY ARPT -TX
KORH	WORCESTER REGIONAL
KORK	NORTH LITTLE ROCK MUNICIPAL ARPT
KORL	EXECUTIVE ARPT
KORS	ORCAS ISLAND ARPT
KOSH	WITTMAN REGIONAL ARPT
KOSU	OHIO STATE UNIVERSITY
KOTG	WORTHINGTON MUNICIPAL ARPT
KOTH	SOUTHWEST OREGON REGIONAL ARPT
KOTM	OTTUMWA REGIONAL ARPT
KOUN	UNIV OF OKLAHOMA WESTHEIMER ARPT
KOWA	OWATONNA DEGNER REGIONAL ARPT
KOWB	OWENSBORO-DAVIESS
KOWD	NORWOOD MEMORIAL ARPT
KOXB	OCEAN CITY MUNICIPAL  ARPT -MD
KOXC	WATERBURY-OXFORD ARPT
KOXD	MIAMI UNIVERSITY ARPT
KOXR	OXNARD ARPT
KOXV	KNOXVILLE MUNICIPAL ARPT
KOZS	CAMDENTON MEMORIAL ARPT
KOZW	LIVINGSTON COUNTY SPENCER J HARDY
KPAE	SNOHOMISH CO -PAINE FIELD
KPAH	BARKLEY REGIONAL ARPT
KPAN	PAYSON ARPT
KPAO	PALO ALTO ARPT OF SANTA CLARA COUNTY
KPBG	PLATTSBURGH INTL ARPT
KPBH	PRICE COUNTY ARPT
KPBI	PALM BEACH INTL
KPBX	PIKE COUNTY ARPT - HATCHER FIELD
KPCM	PLANT CITY ARPT
KPCW	ERIE-OTTAWA INTL ARPT - CARL KELLER FIELD
KPCZ	WAUPACA MUNICIPAL ARPT
KPDK	DEKALB-PEACHTREE ARPT
KPDT	EASTERN OREGON REGNL ARPT AT PENDLETON
KPDX	PORTLAND INTL -OR
KPFN	PANAMA CITY - BAY COUNTY INTL
KPGA	PAGE MUNICIPAL
KPGD	PUNTA GORDA ARPT
KPGV	PITT-GREENVILLE ARPT
KPHF	NEWPORT NEWS/WILLIAMSBURG INTL
KPHL	PHILADELPHIA INTL
KPHN	ST CLAIR COUNTY INTL ARPT
KPHX	PHOENIX SKY HARBOR INTL ARPT
KPIA	GENERAL DOWNING-PEORIA INTL ARPT
KPIB	HATTIESBURG-LAUREL
KPIE	ST. PETE-CLEARWATER INTL ARPT
KPIH	POCATELLO REGIONAL ARPT
KPIR	PIERRE REGIONAL ARPT
KPIT	PITTSBURGH INTL ARPT
KPJC	ZELIENOPLE MUNICIPAL
KPJY	PINCKNEYVILLE-DU QUOIN
KPKB	MID-OHIO VALLEY REGIONAL
KPLB	CLINTON COUNTY ARPT
KPLK	M GRAHAM CLARK - TANEY COUNTY ARPT
KPLN	PELLSTON REGNL ARPT OF EMMET COUNTY
KPLU	PIERCE CO - THUN FIELD ARPT
KPMD	PALMDALE USAF PLANT 42 ARPT
KPMH	GREATER PORTSMOUTH REGIONAL ARPT
KPMP	POMPANO BEACH AIRPARK
KPMU	PANOLA COUNTY ARPT
KPNC	PONCA CITY MUNICIPAL ARPT
KPNE	NORTHEAST PHILADELPHIA ARPT
KPNM	PRINCETON MUNICIPAL
KPNS	PENSACOLA INTL ARPT
KPOC	BRACKETT FIELD ARPT
KPOF	POPLAR BLUFF MUNICIPAL
KPOU	DUTCHESS COUNTY ARPT
KPOV	PORTAGE COUNTY ARPT
KPPF	TRI-CITY ARPT -PARSONS
KPPQ	PITTSFIELD PENSTONE MUNICIPAL ARPT
KPQI	NORTHERN MAINE REGIONAL
KPRB	PASO ROBLES MUNICIPAL ARPT
KPRC	ERNEST A LOVE FIELD
KPSC	TRI-CITIES
KPSF	PITTSFIELD MUNICIPAL ARPT -MA
KPSM	PORTSMOUTH INTL ARPT AT PEASE
KPSN	PALESTINE MUNICIPAL ARPT
KPSP	PALM SPRINGS INTL
KPTD	POTSDAM MUNICIPAL ARPT -DAMON FIELD
KPTK	OAKLAND COUNTY INTL
KPTN	HARRY P WILLIAMS MEMORIAL ARPT
KPTS	ATKINSON MUNICIPAL
KPTV	PORTERVILLE MUNICIPAL ARPT
KPUB	PUEBLO MEMORIAL ARPT
KPUJ	PAULDING NORTHWEST ATLANTA ARPT
KPUW	PULLMAN/MOSCOW REGIONAL ARPT
KPVC	PROVINCETOWN MUNICIPAL ARPT
KPVD	THEODORE FRANCIS GREEN STATE
KPVG	HAMPTON ROADS EXECUTIVE
KPVU	PROVO MUNICIPAL ARPT
KPWA	WILEY POST ARPT
KPWC	PINE RIVER REGIONAL ARPT
KPWK	CHICAGO EXECUTIVE ARPT
KPWM	PORTLAND INTL JETPORT -ME
KPWT	BREMERTON NATIONAL ARPT
KPYM	PLYMOUTH MUNICIPAL ARPT -MA
KRAC	JOHN H BATTEN ARPT
KRAL	RIVERSIDE MUNICIPAL ARPT
KRAP	RAPID CITY REGIONAL
KRBD	DALLAS EXECUTIVE ARPT
KRBL	RED BLUFF MUNICIPAL ARPT
KRCM	SKYHAVEN
KRCR	FULTON COUNTY ARPT -IN
KRDD	REDDING MUNICIPAL
KRDG	READING REGNL ARPT/CARL A SPAATZ FIELD
KRDM	ROBERTS FIELD ARPT
KRDU	RALEIGH-DURHAM INTL
KRED	RED LODGE ARPT
KRFD	CHICAGO/ROCKFORD INTL ARPT
KRFG	ROOKE FIELD ARPT
KRFI	RUSK COUNTY ARPT
KRHI	RHINELANDER-ONEIDA COUNTY
KRHV	REID-HILLVIEW ARPT OF SANTA CLARA CNTY
KRIC	RICHMOND INTL
KRIL	GARFIELD COUNTY REGIONAL ARPT
KRIV	MARCH ARB ARPT
KRIW	RIVERTON REGIONAL
KRKD	KNOX COUNTY REGIONAL
KRKP	ARANSAS COUNTY ARPT
KRKS	ROCK SPRINGS-SWEETWATER CO
KRLD	RICHLAND ARPT
KRME	GRIFFISS INTL
KRMG	RICHARD B RUSSELL
KRMN	STAFFORD REGIONAL ARPT
KRMY	BROOKS FIELD ARPT -MI
KRNH	NEW RICHMOND REGIONAL
KRNM	RAMONA ARPT
KRNO	RENO TAHOE INTL
KRNP	OWOSSO COMMUNITY ARPT
KRNT	RENTON MUNICIPAL ARPT
KRNV	CLEVELAND MUNICIPAL ARPT
KROA	ROANOKE REGNL ARPT/WOODRUM FIELD
KROC	GREATER ROCHESTER INTL
KROG	ROGERS MUNICIPAL ARPT-CARTER FIELD
KROS	RUSH CITY REGIONAL ARPT
KROW	ROSWELL INTL AIR CENTER
KROX	ROSEAU MUNI ARPT/RUDY BILLBERG FLD
KRPB	BELLEVILLE MUNICIPAL
KRPD	RICE LAKE REGIONAL ARPT CARLS FIELD
KRPH	GRAHAM MUNICIPAL ARPT
KRQB	ROBEN-HOOD ARPT
KRQO	EL RENO REGIONAL ARPT
KRRL	MERRILL MUNICIPAL ARPT
KRRQ	ROCK RAPIDS MUNICIPAL ARPT
KRRT	WARROAD INTL MEMORIAL ARPT
KRSN	RUSTON REGIONAL ARPT
KRST	ROCHESTER INTL
KRSW	SOUTHWEST FLORIDA INTL ARPT
KRUE	RUSSELLVILLE REGIONAL ARPT
KRUQ	ROWAN COUNTY ARPT
KRUT	RUTLAND-SOUTHERN VERMONT REGNL ARPT
KRVS	RICHARD LLOYD JONES JR ARPT
KRWF	REDWOOD FALLS MUNICIPAL ARPT
KRWI	ROCKY MOUNT-WILSON REGNL ARPT
KRYN	RYAN FIELD ARPT
KRYV	WATERTOWN MUNICIPAL ARPT
KRYW	LAGO VISTA TX - RUSTY ALLEN ARPT
KRYY	COBB COUNTY ARPT-MC COLLUM FIELD
KRZL	JASPER COUNTY ARPT
KSAC	SACRAMENTO EXECUTIVE ARPT
KSAF	SANTA FE MUNICIPAL
KSAN	SAN DIEGO INTL
KSAT	SAN ANTONIO INTL
KSAV	SAVANNAH/HILTON HEAD INTL ARPT
KSAW	SAWYER INTL
KSBA	SANTA BARBARA MUNICIPAL
KSBD	SAN BERNARDINO INTL ARPT
KSBM	SHEBOYGAN COUNTY MEMORIAL ARPT
KSBN	SOUTH BEND REGIONAL
KSBP	SAN LUIS COUNTY REGIONAL ARPT
KSBS	STEAMBOAT SPRINGS ARPT/BOB ADAMS FIELD
KSBY	SALISBURY-OCEAN CITY WICOMICO REGNL ARPT
KSCH	SCHENECTADY COUNTY
KSCK	STOCKTON METRO
KSDF	LOUISVILLE INTL ARPT-STANDIFORD FIELD
KSDL	SCOTTSDALE ARPT
KSDM	BROWN FIELD MUNICIPAL ARPT
KSDY	SIDNEY-RICHLAND MUNICIPAL ARPT
KSEA	SEATTLE-TACOMA INTL
KSEE	GILLESPIE FIELD ARPT
KSEF	SEBRING REGIONAL ARPT
KSEP	CLARK FIELD MUNICIPAL ARPT
KSER	FREEMAN MUNICIPAL ARPT
KSEZ	SEDONA ARPT
KSFB	ORLANDO SANFORD INTL ARPT
KSFF	FELTS FIELD ARPT
KSFM	SANFORD REGIONAL ARPT
KSFO	SAN FRANCISCO INTL ARPT
KSFQ	SUFFOLK EXECUTIVE ARPT
KSFZ	NORTH CENTRAL STATE ARPT
KSGF	SPRINGFIELD-BRANSON NATIONAL
KSGH	SPRINGFIELD-BECKLEY MUNICIPAL ARPT
KSGJ	ST AUGUSTINE
KSGR	SUGAR LAND REGIONAL ARPT
KSGS	SOUTH ST PAUL MUNI ARPT-RICHARD E FLEMING FIELD
KSGT	STUTTGART MUNICIPAL ARPT
KSGU	ST GEORGE MUNICIPAL ARPT
KSHD	SHENANDOAH VALLEY
KSHR	SHERIDAN COUNTY ARPT
KSHV	SHREVEPORT REGIONAL
KSIF	ROCKINGHAM COUNTY NC SHILOH ARPT
KSIK	SIKESTON MEMORIAL MUNICIPAL ARPT
KSJC	NORMAN Y. MINETA SAN JOSE INTL ARPT
KSJT	SAN ANGELO REGNL ARPT/MATHIS FIELD
KSJX	BEAVER ISLAND ARPT
KSKY	GRIFFING SANDUSKY ARPT
KSLC	SALT LAKE CITY INTL
KSLE	MCNARY FLD ARPT
KSLI	LOS ALAMITOS ARMY AIRFIELD
KSLK	ADIRONDAK REGIONAL ARPT
KSLN	SALINA MUNICIPAL
KSMD	SMITH FIELD ARPT
KSMF	SACRAMENTO INTL
KSMO	SANTA MONICA MUNICIPAL
KSMS	SUMTER ARPT
KSMX	SANTA MARIA PUBLIC ARPT/CAPT G ALLAN HANCOCK FIELD
KSNA	JOHN WAYNE-ORANGE COUNTY ARPT
KSNC	CHESTER ARPT
KSNK	WINSTON FIELD ARPT
KSNS	SALINAS MUNICIPAL ARPT
KSNY	SIDNEY MUNI ARPT/LLOYD W. CARR FIELD
KSOA	SONORA MUNICIPAL ARPT
KSOP	MOORE COUNTY ARPT
KSOW	SHOW LOW REGIONAL ARPT
KSPA	SPARTANBURG DOWNTOWN MEMORIAL ARPT
KSPG	ALBERT WHITTED
KSPI	ABRAHAM LINCOLN CAPITAL ARPT
KSPK	SPANISH FORK-SPRINGVILLE
KSPS	SHEPPARD AFB/WICHITA FALLS MUNI ARPT
KSPW	SPENCER MUNICIPAL AIRPORT
KSPX	HOUSTON GULF ARPT
KSQL	SAN CARLOS ARPT
KSRB	UPPER CUMBERLAND REGIONAL ARPT
KSRC	SEARCY MUNICIPAL ARPT
KSRE	SEMINOLE MUNICIPAL ARPT
KSRQ	SARASOTA-BRADENTON INTL ARPT
KSRR	SIERRA BLANCA REGIONAL
KSSF	STINSON MUNICIPAL ARPT
KSSI	MALCOLM MCKINNON ARPT
KSSQ	SHELL LAKE MUNICIPAL ARPT
KSTC	ST. CLOUD REGIONAL
KSTF	GEORGE M BRYAN ARPT
KSTJ	ROSECRANS MEMORIAL ARPT
KSTL	LAMBERT-ST LOUIS INTL
KSTP	ST. PAUL DOWNTOWN ARPT/HOLMAN FIELD
KSTS	CHARLES M. SCHULZ-SONOMA COUNTY ARPT
KSUA	WITHAM FIELD ARPT
KSUN	FRIEDMAN MEMORIAL
KSUS	SPIRIT OF ST LOUIS
KSUT	CAPT FEAR REGNL JETPORT/HOWIE FRANKLIN FIELD ARPT
KSUU	TRAVIS AIR FORCE BASE
KSUW	RICHARD I BONG ARPT
KSUX	SIOUX GATEWAY ARPT/COL. BUD DAY FIELD
KSVC	GRANT COUNTY
KSVE	SUSANVILLE MUNICIPAL ARPT
KSWF	STEWART INTL AIRPORT
KSWO	STILLWATER REGIONAL ARPT
KSXL	SUMMERSVILLE ARPT
KSXU	SANTA ROSA ROUTE 66
KSYR	SYRACUSE HANCOCK INTL
KSZT	SANDPOINT ARPT
KSZY	ROBERT SIBLEY ARPT
KTAN	TAUNTON MUNICIPAL ARPT - KING FIELD
KTBN	WAYNESVILLE-ST ROBERT REGIONAL FORNEY FIELD
KTBR	STATESBORO -BULLOCH COUNTY ARPT
KTCC	TUCUMCARI MUNICIPAL ARPT
KTCL	TUSCALOOSA REGIONAL ARPT
KTCM	MCCORD FIELD ARPT
KTCY	TRACY MUNICIPAL ARPT
KTDF	PERSON COUNTY ARPT
KTDW	TRADEWIND ARPT
KTDZ	TOLEDO EXECUTIVE ARPT
KTEB	TETERBORO AIRPORT
KTEL	PERRY COUNTY MUNICIPAL
KTEX	TELLURIDE REGIONAL ARPT
KTGI	TANGIER ISLAND ARPT
KTHV	YORK ARPT
KTIW	TACOMA NARROWS ARPT
KTIX	SPACE COAST REGIONAL
KTKI	MCKINNEY NATIONAL ARPT
KTKV	TOMAHAWK REGIONAL ARPT
KTLH	TALLAHASSEE REGIONAL
KTLR	MEFFORD FIELD ARPT
KTMB	KENDALL-TAMIAMI EXECUTIVE ARPT
KTME	HOUSTON EXECUTIVE ARPT
KTNT	DADE-COLLIER TRAINING AND TRANSITION ARPT
KTOA	ZAMPERINI FIELD ARPT
KTOI	TROY MUNICIPAL ARPT
KTOL	TOLEDO EXPRESS ARPT
KTOP	PHILIP BILLARD MUNICIPAL ARPT
KTPA	TAMPA INTL
KTPF	PETER O KNIGHT ARPT
KTQK	SCOTT CITY MUNICIPAL ARPT
KTRI	TRI-CITIES REGIONAL TN/VA ARPT
KTRK	TRUKEE-TAHOE ARPT
KTRM	JACQUELINE COCHRAN REGIONAL ARPT
KTRX	TRENTON MUNICIPAL ARPT
KTSO	CARROLL COUNTY-TOLSON ARPT
KTSP	TEHACHAPI MUNICIPAL ARPT
KTTA	RALEIGH EXEC JETPORT AT SANFORD-LEE CNTY ARPT
KTTD	PORTLAND-TROUTDALE ARPT
KTTF	CUSTER ARPT
KTTN	TRENTON MERCER ARPT
KTTS	NASA SHUTTLE LANDING FACILITY
KTUL	TULSA INTL
KTUP	TUPELO REGIONAL ARPT
KTUS	TUCSON INTL
KTVC	CHERRY CAPITAL ARPT
KTVF	THIEF RIVER FALLS REGIONAL
KTVL	LAKE TAHOE ARPT
KTVR	VICKSBURG TALLULAH REGIONAL ARPT
KTVY	BOLINDER FIELD - TOOELE VALLEY ARPT
KTWF	JOSLIN FIELD - MAGIC VALLEY REGIONAL
KTXK	TEXARKANA-WEBB FIELD
KTYQ	INDIANAPOLIS EXECUTIVE ARPT
KTYR	TYLER POUNDS REGIONAL ARPT
KTYS	MC GHEE TYSON ARPT
KTZR	BOLTON FIELD ARPT
KUBX	CUBA MUNICIPAL ARPT
KUCA	ONEIDA COUNTY ARPT
KUCP	NEW CASTLE MUNICIPAL ARPT
KUCY	EVERETT-STEWART REGIONAL ARPT
KUDD	BERMUDA DUNES ARPT
KUES	WAUKESHA COUNTY ARPT
KUGN	WAUKEGAN REGIONAL ARPT
KUIN	QUINCY REGIONAL ARPT - BALDWIN FLD
KUIZ	BERZ-MACOMB ARPT
KUKF	WILKES COUNTY AIRPORT
KUKI	UKIAH MUNICIPAL ARPT
KUMP	INDIANAPOLIS METROPOLITAN ARPT
KUNI	OHIO UNIVERSITY ARPT-SNYDER FIELD
KUNO	WEST PLAINS REGIONAL ARPT
KUNV	UNIVERSITY PARK ARPT
KUOS	FRANKLIN COUNTY ARPT
KUTA	TUNICA MUNICIPAL ARPT
KUUU	NEWPORT STATE ARPT
KUVA	GARNER FIELD ARPT
KUYF	MADISON COUNTY ARPT
KUZA	ROCK HILL -YORK CO BRYANT FLD
KVAD	MOODY AIR FORCE BASE
KVAY	SOUTH JERSEY REGIONAL ARPT
KVBG	VANDENBERG AIR FORCE BASE
KVCB	NUT TREE AIRPORT
KVCT	VICTORIA REGIONAL
KVCV	SOUTHERN CALIFORNIA LOGISTICS
KVDF	TAMPA EXECUTIVE ARPT
KVEL	VERNAL ARPT
KVER	JESSE VIERTEL MEMORIAL ARPT
KVGC	HAMILTON MUNICIPAL ARPT
KVGT	NORTH LAS VEGAS
KVIH	ROLLA NATIONAL ARPT
KVIS	VISALIA MUNICIPAL ARPT
KVJI	VIRGINIA HIGHLANDS ARPT
KVLD	VALDOSTA REGIONAL
KVLL	OAKLAND/TROY ARPT
KVMR	HAROLD DAVIDSON FIELD ARPT
KVNC	VENICE MUNICIPAL AIRPORT
KVNY	VAN NUYS ARPT
KVOK	VOLK FIELD ARPT
KVPS	EGLIN AIR FORCE BASE/DESTIN-FORT WALTON BEACH AIRPORT
KVPZ	PORTER COUNTY MUNICIPAL
KVQQ	CECIL ARPT
KVRB	VERO BEACH MUNICIPAL
KVSF	HARTNESS STATE ARPT -SPRINGFIELD
KVTA	NEWARK-HEATH ARPT
KVTN	MILLER FIELD ARPT
KVUJ	STANLY COUNTY ARPT
KVUO	PEARSON FIELD ARPT
KWAL	WALLOPS FLIGHT FACILITY
KWAY	GREEN COUNTY
KWDG	ENID WOODRING REGIONAL ARPT
KWDR	BARROW COUNTY ARPT
KWHP	WHITEMAN AIRPORT
KWJF	GENERAL WM J FOX AIRFIELD
KWLD	STROTHER FIELD ARPT
KWLW	WILLOWS-GLENN COUNTY ARPT
KWRI	MC GUIRE AIR FORCE BASE
KWRL	WORLAND MUNICIPAL ARPT
KWST	WESTERLY STATE ARPT
KWVI	WATSONVILLE MUNICIPAL ARPT
KWWD	CAPE MAY COUNTY ARPT
KWYS	YELLOWSTONE ARPT
KXLL	ALLENTOWN QUEEN CITY MUNICIPAL
KXNA	NW ARKANSAS REGIONAL
KXSA	TAPPAHANNOCK-ESSEX COUNTY
KYIP	WILLOW RUN ARPT
KYKM	YAKIMA AIR TERMINAL/MCALLISTER FIELD
KYKN	CHAN GURNEY MUNICIPAL ARPT
KYNG	YOUNGSTOWN-WARREN RGNL ARPT
KZER	SCHUYKILL COUNTY -JOE ZERBEY ARPT
KZPH	ZEPHYRHILLS MUNICIPAL ARPT
KZZV	ZANESVILLE MUNICIPAL ARPT
L26	HESPERIA ARPT
L35	BIG BEAR CITY
L66	POLLOCK MUNICIPAL
LA09	AIR LOGISTICS HELIPORT
LA28	LA STATE POLICE HELIPORT
LBBG	BURGAS ARPT
LEBL	BARCELONA ARPT
LEMD	MADRID-BARAJAS
LEMG	MALAGA ARPT
LERT	ROTA
LEVC	VALENCIA AIRPORT
LEZG	ZARAGOZA
LFCO	OLORON-HERRERE ARPT
LFMN	NICE COTE DAZUR INTL ARPT
LFPG	CHARLES DE GAULLE
LFPO	ORLY
LFSB	BASEL-MULHOUSE-FREIBURG
LGAV	ELEFTHERIOS VENIZELOS INTL
LGKM	KAVALA GREECE
LGTS	MAKEDONIA
LHBP	FERIHEGY ARPT
LICZ	SIGONELLA
LIMC	MILANO MALPENSA
LIPA	AVIANO AIR BASE
LIPH	TREVISO ARPT
LIPZ	MARCO POLO INTL
LIRA	CIAMPINO -ROME
LIRF	FIUMICINO ARPT
LIRN	CAPODICHINO -NAPLES
LIRP	GALILEO GALILEI ARPT
LL10	NAPER AERO CLUB ARPT
LLBG	BEN GURION ARPT
LOWW	VIENNA INTL
LPLA	LAJES AIRPORT
LPPT	LISBON INTL ARPT
LQTZ	TUZLA AIR BASE
LROP	HENRI COANDA INTL ARPT
LS08	ROBERT L SUGGS HELIPORT
LS99	PHI FOURCHON BASE HELIPORT
LSGG	GENEVA INTL ARPT
LSZH	ZURICH
LTAG	INCIRLIK AIR BASE
LTBA	ATAURK INTL
LTBJ	ADNAN MENDERES
M05	CARUTHERSVILLE MEMORIAL ARPT
M17	BOLIVAR MUNICIPAL ARPT
M19	NEWPORT MUNICIPAL ARPT -AK
M20	GRAYSON COUNTY ARPT
M22	BILL PUGH FIELD ARPT
M31	ARNOLD FIELD ARPT
M33	SUMNER COUNTY REGIONAL
M34	KENTUCKY DAM STATE PARK
M37	RULEVILLE-DREW ARPT
M48	HOUSTON MEMORIAL ARPT
M54	LEBANON MUNICIPAL ARPT -TN
M83	MCCHAREN FIELD
MA39	BRIGHAM AND WOMENS HOSPITAL HELIPORT
MBPV	PROVIDENCIALES INTL
MD24	HAYSFIELD ARPT
MD71	UNIV OF MD SHOCK TRAUMA CTR HELIPORT
MD99	MORAN FIELD ARPT
MDJB	LA ISABELA  INTL ARPT
MDLR	LA ROMANA INTL
MDPC	PUNTA CANA INTL
MDPP	PUERTO PLATA INTL
MDSD	SANTO DOMINGO/LAS AM
MDST	SANTIAGO CIBAO INTL
ME19	CLAYTON LAKE STRIP ARPT
ME79	TWO FALLS ARPT
MGGT	LA AURORA
MHLM	SAN PEDRO SULA LA MESA
MHTG	TONCONTIN INTL
MI32	UMMC HELIPORT
MKJP	NORMAN MANLEY INTL
MKJS	SANGSTER INTL
MMAA	GEN JUAN ALVAREZ INTL ARPT
MMAS	AQUASCALIENTES
MMCU	GENERAL ROBERTO FIERRO VILLALOBOS INTL
MMCZ	COZUMEL MEXICO
MMGL	GUADALAJARA, MEXICO
MMGM	GUAYMAS INTL
MMHO	GENERAL IGNACIO P GARCIA INTL
MMLM	LOS MOCHIS
MMLO	GUANAJUATO DEL BAJIO INTL
MMMG	MULEGE AIRSTRIP
MMMX	BENITO JUAREZ INTL
MMMY	GENERAL ESCOBEDO INTL
MMMZ	GENERAL RAFAEL BUELNA INTL
MMPB	PUEBLA MEXICO
MMPR	PUERTO VALLARTA
MMSD	LOS CABOS INTL
MMTO	TOLUCA/LIC ADOLFO
MMUN	CANCUN INTL
MMVR	GENERAL HERIBERTO JARA INTL ARPT
MMZH	IXTAPA-ZIHUATENEJO
MN56	CHARLTON BUILDING HELIPORT
MNMG	MANAGUA INTL ARPT
MO28	BLUE SPRINGS HELIPORT
MO3	STOCKTON MUNICIPAL ARPT
MO63	ST LUKES NORTHLAND HOSPITAL HELIPORT
MO91	BARNES JEWISH HOSPITAL
MPHO	PANAMA PACIFIC INTL ARPT
MPTO	TOCUMEN INTL
MRLB	DANIEL ODUBER QUIROS INTL
MROC	JUAN SANTAMARIA INTL
MSLP	EL SALVADOR INTL
MTPP	PORT-AU-PRINCE INTL
MU02	C.E.F. AIRPORT
MUHA	JOSE MARTI INTL ARPT
MWCR	OWEN ROBERTS INTL
MYAK	CONGO TOWN BAHAMAS
MYGF	FREEPORT INTL
MYNN	LYNDEN PINDLING INTL ARPT
MYSM	SAN SALVADOR INTL
MZBZ	BELIZE INTERNATIONAL ARPT
N03	CORLAND COUNTY ARPT-CHASE FIELD
N07	LINCOLN PARK ARPT
N14	FLYING W ARPT
N51	SOLBERG-HUNTERDON
N57	NEW GARDEN
N66	ONEONTA MUNICIPAL ARPT
N72	WARWICK MUNICIPAL ARPT
N81	HAMMONTON MUNICIPAL
N87	TRENTON-ROBBINSVILLE ARPT
NC14	BOONE INC ARPT
NC30	MILLER AIR PARK ARPT
NFFN	NADI INTL
NFNA	NAUSORI INTL ARPT
NSTU	PAGO PAGO INTL
NTAA	TAHITI FAAA
NV74	CALVADA MEADOWS ARPT
NY0	FULTON COUNTY ARPT
NY22	NYPD AIR OPS HELIPORT -PVT
NZAA	AUCKLAND INTL
O03	MORGANTOWN ARPT
O07	WESTHEIMER AIR PARK
O22	COLUMBIA ARPT
O41	WATTS-WOODLAND ARPT
O43	YERINGTON MUNICIPAL ARPT
O69	PETALUMA MUNICIPAL ARPT
O85	BENTON FIELD ARPT
O88	RIO VISTA MUNICIPAL ARPT
OAIX	BAGRAM AIR BASE
OBBI	BAHRAIN INTL
OEDR	DHAHRAN INTL
OEHL	HAIL
OERY	RIYAHD AIR BASE
OETN	RAS TANAJIB
OG30	AEROACRES ARPT
OI65	AULTMAN HOSPITAL HELIPORT
OMDB	DUBAI INTL
OPRN	ISLAMABAD -PAKISTAN
OR81	OLINGER AIRPARK
OTBD	DOHA INTL
P10	POLACCA ARPT
P19	STELLAR AIRPARK
P72	PENNS LANDING HELIPORT
PABE	BETHEL ARPT
PABG	BELUGA AIRPORT
PABR	WILEY POST-WILL ROGERS MEM
PACD	COLD BAY ARPT
PACK	CHEFORNAK ARPT
PACM	SCAMMON BAY AIRPORT
PACV	MERLE K -MUDHOLE SMITH ARPT
PADK	ADAK ARPT
PADL	DILLINGHAM ARPT
PADQ	KODIAK AIRPORT
PADU	UNALASKA ARPT
PADY	KONGIGANAK ARPT
PAED	ELMENDORF AIR FORCE BASE
PAEE	EEK ARPT
PAEM	EMMONAK ARPT
PAEN	KENAI MUNICIPAL ARPT
PAEW	NEWTOK ARPT
PAFA	FAIRBANKS INTL ARPT
PAGA	EDWARD G PITKA SR ARPT
PAGS	GUSTAVUS ARPT
PAHL	HUSLIA ARPT
PAHO	HOMER ARPT
PAJN	JUNEAU INTL ARPT
PAKD	KODIAK MUNICIPAL ARPT
PAKI	KIPNUK ARPT
PAKN	KING SALMON
PAKT	KETCHIKAN INTL ARPT
PAKU	UGNU-KUPARUK ARPT
PAKW	KLAWOCK ARPT
PAKY	KARLUK ARPT
PALH	LAKE HOOD -SPB
PAML	MANLEY HOT SPRINGS ARPT
PAMR	MERRILL FIELD ARPT
PANC	TED STEVENS ANCHORAGE INTL
PANI	ANIAK AIRPORT
PAOH	HOONAH ARPT
PAOM	NOME ARPT
PAOO	TOKSOOK BAY ARPT
PAOT	RALPH WIEN MEMORIAL ARPT
PAPB	ST. GEORGE  ARPT
PAPG	PETERSBURG JAMES A JOHNSON ARPT
PAPH	PORT HEIDEN AIRPORT
PAQT	NUIQSUT ARPT
PASC	DEADHORSE ARPT
PASD	SAND POINT ARPT
PASI	SITKA ROCKY GUTIERREZ ARPT
PASK	SELAWICK ARPT
PASO	SELDOVIA
PASV	SPARREVOHN LRRS ARPT
PASX	SOLDOTNA AIRPORT
PASY	EARECKSON AIR STATION
PATK	TALKEETNA ARPT
PAVD	VALDEZ PIONEER FIELD ARPT
PAWD	SEWARD ARPT
PAWG	WRANGELL ARPT
PAYA	YAKUTAT ARPT
PCUW	CUBE COVE
