00C	ANIMAS AIR PARK
87Y	BLACKHAWK AIRFIELD
88R	SPICEWOOD ARPT
89D	KELLEYS ISLAND LAND FIELD ARPT
8A1	GUNTERSVILLE MUNI ARPT-JOE STARNES FIELD
8A4	INDIANAPOLIS DOWNTOWN HELIPORT
8A6	WILGROVE AIR PARK
8B8	LAKES REGIONAL ARPT
8D4	PAUL C. MILLER-SPARTA ARPT
8D7	CLARK COUNTY ARPT -SD
8LA1	CHEVRON USA INC SEAPLANE BASE
8S4	ENTERPRISE MUNICIPAL ARPT
8TN7	SHORT CREEK ARPT
8U2	SCHAFER/USFS
8W2	NEW MARKET
90WA	WALDRONAIRE ARPT
98D	ONIDA MUNICIPAL
99Y	GREELEY MUNICIPAL ARPT
9A7	SOUTH EXPRESSWAY
9B1	MARLBORO ARPT
9D2	HARDING COUNTY ARPT
9D4	DECK ARPT
9G0	BUFFALO AIRFIELD ARPT
9G2	PRICES ARPT
9N1	VANSANT
9WI8	FLETCHER ARPT
9Z4	INNER HARBOR -SPB
A29	SITKA -SPB
A63	TWIN HILLS ARPT
AK28	CHENA MARINA ARPT
AZ75	SUMMIT HEALTHCARE RGNL MED CENTER
C09	MORRIS MUNI ARPT - JAMES R. WASHBURN FIELD
C20	ANDREWS UNIV AIRPARK
C29	MIDDLETON MUNI ARPT - MOREY FIELD
C35	REEDSBURG MUNICIPAL
C43	HIRAM CURE ARPT
C47	PORTAGE MUNICIPAL ARPT
C62	KENDALLVILLE MUNICIPAL ARPT
C65	PLYMOUTH MUNICIPAL -IN
C66	MONMOUTH MUNICIPAL
C81	CAMPBELL ARPT
C91	DOWAGIAC MUNICIPAL ARPT
CA52	PORT OCALL HELIPORT
CA92	PARADISE SKYPARK ARPT
CKU	CORDOVA MUNICIPAL ARPT
CL33	PAUMA VALLEY AIR PARK ARPT
CO80	FOWLER ARPT
CO90	USAF ACADEMY BULLSEYE AUX AIRSTRIP
CT60	CANTERBURY FARM ARPT
CYAG	FORT FRANCES MUNICIPAL
CYEG	EDMONTON INTL
CYET	EDSON
CYGW	KUUJJUARAPIK
CYHM	HAMILTON
CYHU	SAINT HUBERT
CYHZ	HALIFAX INTL
CYJT	STEPHENVILLE
CYKF	KITCHENER/WATERLOO REGIONAL
CYKZ	TORONTO/BUTTONVILLE MUNICIPAL
CYLJ	MEADOW LAKE
CYMX	MONTREAL INTL -MIRABEL
CYOW	OTTAWA/MACDONALD-CARTIER INTL
CYQA	MUSKOKA
CYQB	QUEBEC/JEAN LESAGE INTL
CYQG	WINDSOR
CYQR	REGINA INTL
CYQT	THUNDER BAY
CYQX	GANDER INTL
CYSB	SUDBURY
CYSN	ST CATHARINES/NIAGARA DISTRICT
CYUL	MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL
CYVR	VANCOUVER INTL
CYWG	WINNIPEG INTL
CYWH	VICTORIA HARBOUR
CYXE	SASKATOON/JOHN G. DIEFENBAKER INTL
CYXU	LONDON
CYYC	CALGARY INTL
CYYJ	VICTORIA INTL
CYYR	GOOSE BAY
CYYT	ST. JOHNS INTL
CYYZ	TORONTO/LESTER B. PEARSON INTL
D00	NORMAN CO ADA/TWIN VALLEY
D09	BOTTINEAU MUNICIPAL ARPT
D25	MANITOWISH WATERS
D38	CANANDAIGUA ARPT
D68	SPRINGERVILLE MUNICIPAL
D73	MONROE-WALTON COUNTY
DAAG	HOUARI BOUMEDIENE
DNMM	MURTALA MUHAMMED
E16	SOUTH COUNTY ARPT OF SANTA CLARA COUNTY
E27	ELK GROVE ARPT
E38	ALPINE-CASPARIS MUNICIPAL
E45	PINE MOUNTAIN LAKE ARPT
E63	GILA BEND MUNICIPAL
E91	CHINLE MUNICIPAL ARPT
EBBR	BRUSSELS NATIONAL
EBLG	LIEGE ARPT
EBOS	OOSTTENDE
EDDF	FRANKFURT MAIN
EDDK	COLOGNE-BONN
EDDL	DUSSELDORF
EDDM	MUNICH INTL ARPT
EDDN	NURNBERG
EDDP	LEIPZIG-HALLE
EDDS	STUTTGART GERMANY
EDDT	BERLIN TEGEL
EFHK	HELSINKI-VANTAA ARPT
EGAA	BELFAST INTL ARPT
EGBB	BIRMINGHAM INTL
EGBE	COVENTRY ARPT
EGBJ	GLOUCESTERSHIRE ARPT
EGCC	MANCHESTER ENGLAND
EGGD	BRISTOL INTL
EGGW	LONDON-LUTON ARPT
EGHI	SOUTHAMPTON ARPT
EGJA	ALDERNEY ARPT
EGJB	GUERNSEY ARPT
EGJJ	JERSEY ARPT
EGKA	SHOREHAM ARPT
EGKB	BIGGIN HILL ARPT
EGKK	GATWICK - LONDON
EGLF	FARNBOROUGH ARPT
EGLK	BLACKBUSHE ARPT
EGLL	HEATHROW - LONDON
EGLS	OLD SARUM AIRFIELD
EGMD	LONDON ASHFORD ARPT
EGNJ	HUMBERSIDE
EGNX	EAST MIDLANDS
EGPE	INVERNESS ARPT
EGPH	EDINBURGH ARPT
EGPK	PRESTWICK
EGSS	STANSTEAD-LONDON
EGSX	NORTH WEALD AIRFIELD
EGTO	ROCHESTER ARPT
EHAM	AMSTERDAM SCHIPHOL
EIDW	DUBLIN INTL ARPT
EINN	SHANNON INTL
EKCH	KASTRUP AIRPORT
ELLX	LUXEMBOURG INTL ARPT
ENFB	FORNEBU -OSLO
ESMS	MALMO-STURUP ARPT
ESSA	STOCKHOLM ARLANDA SWEDEN
ETAR	RAMSTEIN AIR FORCE BASE
F10	HENRYETTA MUNICIPAL ARPT
F22	PERRY MUNICIPAL ARPT
F31	LAKE TEXOMA STATE PARK ARPT
F35	POSSUM KINGDOM ARPT
F45	NORTH PALM BEACH CNTY GEN AVTN
F62	HAYFORK ARPT
F72	FRANKLIN FIELD ARPT
F87	UNION PARISH ARPT
FA40	HIDDEN LAKE ARPT
FA61	SHANDS JACKSONVILLE HOSPITAL HELIPORT
FA81	TAVERNAERO PARK
FACT	CAPE TOWN INTL ARPT
FL17	RUCKEL AIRPORT
FL59	BUCKINGHAM FIELD ARPT
FWKI	KAMUZU INTL
G05	FINLEYVILLE AIRPARK
GA04	MALLARDS LANDING
GMME	RABAT MOROCCO
GOOY	DAKAY-YOFF-LEOPOLD SEDAR SENGHOR
H2O	REMOTE_WATER
H34	HUNTSVILLE-MADISON
H68	HEFNER-EASLEY AIRSTRIP
H71	MID-AMERICA INDUSTRIAL
H75	HERNANDO VILLAGE ARPK
HECA	CAIRO INTL
HI01	PRINCEVILLE ARPT
HKJK	NAIROBI JOMO KENYATA
I18	JACKSON COUNTY ARPT
I19	GREEN COUNTY-LEWIS A. JACKSON REGNL ARPT
I23	FAYETTE COUNTY ARPT
I39	MADISON ARPT
I40	RICHARD DOWNING
I41	ROBERT NEWLON FIELD
I62	BROOKVILLE AIR-PARK
I64	WAKEMAN ARPT
I66	CLINTON FIELD ARPT
I68	LEBANON-WARREN COUNTY ARPT
I69	CLERMONT COUNTY ARPT
I95	HARDIN COUNTY
IA24	GREEN CASTLE ARPT
IA66	NASH FIELD INDIANOLA -PVT
K15	GRND GLAIZE-OSAGE BEACH
K38	WASHINGTON COUNTY MEMORIAL
K81	MIAMI COUNTY ARPT
KAAF	APALACHICOLA REGIONAL ARPT
KAAO	COLONEL JAMES JABARA ARPT
KABE	LEHIGH VALLEY INTL
KABI	ABILENE REGIONAL ARPT
KABQ	ALBUQUERQUE INTL SUNPORT
KABR	ABERDEEN REGIONAL ARPT
KABY	SOUTHWEST GEORGIA REGIONAL ARPT
KACB	ANTRIM COUNTY ARPT
KACK	NANTUCKET MEMORIAL
KACT	WACO REGIONAL ARPT
KACV	ARCATA AIRPORT
KACY	ATLANTIC CITY INTL
KADC	WADENA MUNICIPAL
KADF	DEXTER B FLORENCE MEMORIAL FIELD ARPT
KADG	LENAWEE COUNTY ARPT
KADH	ADA MUNICIPAL ARPT
KADM	ARDMORE MUNICIPAL
KADS	ADDISON
KADW	JOINT BASE ANDREWS
KAEG	DOUBLE EAGLE II ARPT
KAEL	ALBERT LEA MUNICIPAL ARPT
KAEX	ALEXANDRIA INTL
KAFJ	WASHINGTON COUNTY
KAFW	FORT WORTH ALLIANCE
KAGC	ALLEGHENY COUNTY ARPT
KAGO	MAGNOLIA MUNICIPAL
KAGS	AUGUSTA REGIONAL ARPT AT BUSH FLD
KAHN	ATHENS/BEN EPPS ARPT
KAIA	ALLIANCE MUNICIPAL ARPT
KAID	ANDERSON MUNI-DARLINGTON FLD
KAIZ	LEE C FINE MEMORIAL ARPT
KALB	ALBANY INTL
KALN	ST LOUIS REGIONAL
KALO	WATERLOO REGIONAL ARPT
KALS	SAN LUIS VALLEY REGNL ARPT/BERGMAN FIELD
KALW	WALLA WALLA REGIONAL
